Index,Title,Company,Date posted,Valid until,Education requirements,Standardized Work Position,Actual Position Name,Seniority,Technology,Location,Online Interview,Accepts Students,Work from Home,Simple Work Position Names,Search Term
10,"Staff Data Analyst, R&D",Mural,28-12-23,28-01-24,Bachelor,Saradnik u oblasti analize,"Staff Data Analyst, R&D",senior,SQL,Remote,FALSE,FALSE,TRUE,Data Analyst,Data Analyst
11,Lead Generation & Data Analyst,Atlas Analytics,17-10-23,15-02-24,Bachelor,IT Analyst,Lead Generation & Data Analyst,junior,N/A,Remote,FALSE,FALSE,TRUE,Data Analyst,Data Analyst
12,Data Architect,Tremend Software Consulting,20-12-23,19-02-24,Bachelor,Data Warehouse / Business Intelligence Developer,Data Architect,intermediate,"NoSQL, Python, AWS, Azure, Kafka",Remote,FALSE,FALSE,TRUE,Data Architect,FALSE
13,Data Engineer,Showwcase - ELITE,25-09-23,24-01-24,Bachelor,Data Warehouse / Business Intelligence Developer,Data Engineer,senior,"SQL, Python, Cloud",Remote,FALSE,FALSE,TRUE,Data Engineer,Data Engineer
14,Senior Data Engineer,CobbleWeb Ltd,26-10-23,25-01-24,Bachelor,Data Warehouse / Business Intelligence Developer,Senior Data Engineer,senior,"SQL, NoSQL, Python, AWS, Cloud",Remote,FALSE,FALSE,TRUE,Data Engineer,Data Engineer
15,Business Analyst,Maids.cc,16-11-23,15-02-24,Bachelor,Poslovni analitičar,Business Analyst,junior,N/A,Remote,FALSE,FALSE,TRUE,Business Analyst,Business Analyst
16,Power BI Analyst,Ansio d.o.o.,05-11-20,08-02-24,Bachelor,IT Analyst,Power BI Analyst,intermediate,N/A,Belgrade,FALSE,FALSE,FALSE,Data Analyst,Data Analyst
17,Business Analyst,Speed and Function,24-10-23,22-02-24,Bachelor,Poslovni analitičar,Business Analyst,intermediate,Jira,Remote,FALSE,FALSE,TRUE,Business Analyst,Business Analyst
18,IT Business Analyst,Tremend Software Consulting,20-12-23,19-02-24,Bachelor,IT Analyst,IT Business Analyst,intermediate,UML,Remote,FALSE,FALSE,TRUE,Business Analyst,Business Analyst
19,QA Analyst,Clevertech,16-05-23,10-02-24,Bachelor,Automation QA Engineer,QA Analyst,intermediate,QA,Remote,FALSE,FALSE,TRUE,QA Analyst,FALSE
